		ELEVATION	BASEDEMAND	PRESSURE	HEAD	DEMAND
J25	03:00:00	94.13	0.11	49.84	143.97	0.04
J26	03:00:00	76.35	1.26	67.62	143.97	0.43
J27	03:00:00	82.08	1.17	61.89	143.97	0.39
J28	03:00:00	45.00	0.83	39.99	84.99	0.28
J29	03:00:00	49.00	0.26	35.99	84.99	0.09
J30	03:00:00	72.01	0.37	71.96	143.97	0.13
J31	03:00:00	69.78	0.54	74.19	143.97	0.18
J32	03:00:00	45.00	1.31	39.99	84.99	0.44
J33	03:00:00	48.00	0.08	36.99	84.99	0.03
J34	03:00:00	50.00	0.86	34.99	84.99	0.29
J35	03:00:00	67.78	1.26	76.19	143.97	0.43
J36	03:00:00	51.08	1.33	33.91	84.99	0.45
J37	03:00:00	66.19	0.54	77.82	144.01	0.18
J38	03:00:00	47.00	1.62	37.99	84.99	0.55
J24	03:00:00	34.53	1.34	39.64	74.17	0.48
J39	03:00:00	45.88	1.12	28.27	74.15	0.41
J40	03:00:00	12.80	1.51	61.31	74.11	0.54
J123	03:00:00	38.41	1.46	89.77	128.18	0.52
J140	03:00:00	39.94	0.69	88.24	128.18	0.25
J141	03:00:00	41.45	0.21	86.73	128.18	0.07
J157	03:00:00	31.49	1.59	96.69	128.18	0.56
J158	03:00:00	25.88	1.33	102.30	128.18	0.47
J168	03:00:00	40.21	1.16	87.98	128.19	0.41
J170	03:00:00	46.87	0.67	81.32	128.19	0.24
J176	03:00:00	50.64	0.03	77.55	128.19	9.64e-03
J178	03:00:00	58.87	0.28	69.32	128.19	0.10
J184	03:00:00	56.09	0.27	72.10	128.19	0.10
J185	03:00:00	43.71	0.85	84.49	128.20	0.30
J190	03:00:00	58.49	0.68	69.80	128.29	0.24
J197	03:00:00	41.86	0.18	86.54	128.40	0.06
J213	03:00:00	52.07	0.46	76.22	128.29	0.16
J215	03:00:00	75.76	1.07	52.52	128.28	0.38
J216	03:00:00	53.06	1.42	75.37	128.43	0.50
J227	03:00:00	52.89	0.83	77.93	130.82	0.29
J238	03:00:00	44.16	0.31	88.53	132.69	0.11
J239	03:00:00	43.49	1.49	89.19	132.68	0.53
J255	03:00:00	35.31	0.62	97.37	132.68	0.22
J256	03:00:00	40.00	0.00	92.92	132.92	0.00
J258	03:00:00	51.24	1.28	79.58	130.82	0.46
J260	03:00:00	32.53	0.36	100.12	132.65	0.13
J265	03:00:00	50.87	0.74	81.77	132.64	0.26
J266	03:00:00	39.83	0.39	92.82	132.65	0.14
J267	03:00:00	22.31	1.46	82.85	105.16	0.47
J61	03:00:00	72.00	1.02	38.59	110.59	0.29
J92	03:00:00	72.00	0.62	38.58	110.58	0.18
J268	03:00:00	69.68	0.65	36.08	105.76	0.21
J278	03:00:00	104.29	1.43	32.24	136.53	0.49
J281	03:00:00	83.72	0.98	52.78	136.50	0.33
J283	03:00:00	94.06	1.55	42.44	136.50	0.53
J284	03:00:00	77.38	0.86	59.12	136.50	0.29
J136	03:00:00	81.80	0.55	58.72	140.52	0.19
J137	03:00:00	9.11	1.45	71.83	80.94	0.52
J145	03:00:00	47.46	0.43	80.72	128.18	0.15
J118	03:00:00	75.00	0.43	35.73	110.73	0.12
J52	03:00:00	54.70	0.30	50.52	105.22	0.09
J81	03:00:00	50.00	0.58	34.98	84.98	0.20
J88	03:00:00	45.00	4.18e-03	40.00	85.00	1.41e-03
J90	03:00:00	84.00	1.24	60.09	144.09	0.42
J93	03:00:00	65.00	4.20	79.01	144.01	1.42
J147	03:00:00	68.00	0.46	73.78	141.78	0.16
J148	03:00:00	50.00	1.17	44.51	94.51	0.40
J149	03:00:00	40.00	0.67	54.51	94.51	0.23
J150	03:00:00	60.00	1.35	34.50	94.50	0.46
J151	03:00:00	60.00	1.24	80.41	140.41	0.42
J152	03:00:00	32.00	0.73	49.64	81.64	0.25
J153	03:00:00	60.00	0.13	80.41	140.41	0.04
J169	03:00:00	42.00	0.68	40.00	82.00	0.23
J182	03:00:00	40.00	0.57	42.00	82.00	0.19
J222	03:00:00	32.00	1.18	49.65	81.65	0.40
J224	03:00:00	37.00	0.52	44.65	81.65	0.18
J230	03:00:00	30.00	1.33	75.50	105.50	0.42
J235	03:00:00	53.00	0.25	52.51	105.51	0.08
J240	03:00:00	87.00	0.99	49.75	136.75	0.33
J269	03:00:00	56.00	0.00	35.38	91.38	0.00
J273	03:00:00	56.00	0.00	35.39	91.39	0.00
J274	03:00:00	56.00	0.00	35.38	91.38	0.00
J276	03:00:00	56.00	0.00	2.98	58.98	0.00
J280	03:00:00	56.00	0.00	2.98	58.98	0.00
J285	03:00:00	56.00	0.00	2.97	58.97	0.00
J287	03:00:00	40.00	0.00	26.23	66.23	0.00
J288	03:00:00	40.00	0.00	26.17	66.17	0.00
J289	03:00:00	40.00	0.00	26.19	66.19	0.00
J290	03:00:00	40.00	0.00	26.15	66.15	0.00
J291	03:00:00	65.00	0.00	89.13	154.13	0.00
J292	03:00:00	40.00	0.00	92.93	132.93	0.00
J299	03:00:00	40.00	0.00	26.12	66.12	0.00
J300	03:00:00	40.00	0.00	26.14	66.14	0.00
J301	03:00:00	44.00	0.00	27.27	71.27	0.00
J302	03:00:00	44.00	0.00	27.27	71.27	0.00
J304	03:00:00	44.00	0.00	87.81	131.81	0.00
J306	03:00:00	44.00	0.00	87.57	131.57	0.00
J307	03:00:00	44.00	0.00	27.27	71.27	0.00
J309	03:00:00	44.00	0.00	27.27	71.27	0.00
J317	03:00:00	44.00	0.00	61.32	105.32	0.00
J323	03:00:00	44.00	0.00	61.32	105.32	0.00
R1	03:00:00	59.00	0.00	0.00	59.00	-191.04
T3	03:00:00	112.90	0.00	4.60	117.50	23.79
T1	03:00:00	71.50	0.00	2.62	74.12	13.00
T7	03:00:00	102.00	0.00	4.60	106.60	-9.83
T6	03:00:00	101.50	0.00	5.46	106.96	-2.98
T5	03:00:00	105.80	0.00	2.90	108.70	26.25
T2	03:00:00	65.00	0.00	1.19	66.19	24.12
T4	03:00:00	132.50	0.00	3.96	136.46	24.34
J511	04:00:00	105.08	1.18	31.38	136.46	0.37
J411	04:00:00	8.95	0.89	66.45	75.40	0.28
J414	04:00:00	34.36	0.97	36.97	71.33	0.30
J415	04:00:00	65.00	0.00	69.64	134.64	0.00
J416	04:00:00	42.60	0.00	92.04	134.64	0.00
J417	04:00:00	37.38	1.29	32.59	69.97	0.40
J418	04:00:00	37.39	0.00	31.90	69.29	0.00
J419	04:00:00	40.50	0.00	27.86	68.36	0.00
J310	04:00:00	51.84	1.36	52.90	104.74	0.43
J311	04:00:00	55.95	1.18	48.79	104.74	0.38
J312	04:00:00	68.48	0.08	36.53	105.01	0.02
J313	04:00:00	67.66	0.69	37.35	105.01	0.22
J314	04:00:00	14.94	1.44	59.64	74.58	0.45
J315	04:00:00	16.03	1.32	58.53	74.56	0.41
J316	04:00:00	12.98	0.62	61.43	74.41	0.19
J318	04:00:00	53.67	1.60	51.07	104.74	0.51
J319	04:00:00	39.29	1.45	65.45	104.74	0.46
J210	04:00:00	7.01	0.09	67.48	74.49	0.03
J211	04:00:00	11.27	1.58	63.22	74.49	0.49
J212	04:00:00	7.87	0.61	66.63	74.50	0.19
J214	04:00:00	8.67	0.87	66.04	74.71	0.27
J217	04:00:00	10.98	1.28	63.36	74.34	0.40
J218	04:00:00	7.68	0.09	66.82	74.50	0.03
J219	04:00:00	52.00	0.99	65.65	117.65	0.32
J110	04:00:00	15.92	0.78	64.78	80.70	0.24
J420	04:00:00	39.99	0.00	28.98	68.97	0.00
J421	04:00:00	37.09	1.04	32.67	69.76	0.32
J422	04:00:00	38.81	0.00	30.48	69.29	0.00
J1153	04:00:00	22.14	0.44	52.23	74.37	0.14
J1154	04:00:00	14.61	0.47	59.90	74.51	0.14
J1155	04:00:00	15.54	1.38	58.95	74.49	0.43
J425	04:00:00	64.42	0.00	70.22	134.64	0.00
J426	04:00:00	72.71	0.00	61.93	134.64	0.00
J1157	04:00:00	22.21	1.64	52.16	74.37	0.51
J427	04:00:00	67.65	0.00	66.99	134.64	0.00
J1158	04:00:00	28.25	0.38	46.24	74.49	0.12
J428	04:00:00	16.20	1.16	57.12	73.32	0.36
J429	04:00:00	12.56	1.63	60.79	73.35	0.51
J320	04:00:00	46.73	0.41	57.99	104.72	0.13
J321	04:00:00	44.59	0.89	60.12	104.71	0.28
J322	04:00:00	48.02	0.18	56.68	104.70	0.06
J324	04:00:00	42.38	1.67	62.32	104.70	0.53
J1056	04:00:00	7.64	1.13	67.36	75.00	0.35
J327	04:00:00	49.68	0.03	55.07	104.75	8.32e-03
J1058	04:00:00	13.58	0.96	60.07	73.65	0.30
J328	04:00:00	45.69	0.17	59.03	104.72	0.05
J329	04:00:00	44.05	0.17	60.55	104.60	0.05
J220	04:00:00	80.00	1.33	37.63	117.63	0.43
J221	04:00:00	97.07	0.47	8.19	105.26	0.15
J225	04:00:00	13.33	0.08	61.04	74.37	0.02
J226	04:00:00	11.10	0.49	63.20	74.30	0.15
J50	04:00:00	71.80	0.64	33.16	104.96	0.20
J51	04:00:00	77.42	0.50	27.55	104.97	0.16
J53	04:00:00	85.00	1.58	25.17	110.17	0.51
J54	04:00:00	80.00	1.63	31.33	111.33	0.53
J128	04:00:00	85.26	0.67	48.72	133.98	0.21
J55	04:00:00	71.00	0.46	40.47	111.47	0.15
J129	04:00:00	62.85	0.27	70.96	133.81	0.08
J56	04:00:00	72.00	0.27	40.09	112.09	0.09
J57	04:00:00	59.00	1.08	54.99	113.99	0.35
J58	04:00:00	76.00	0.68	35.40	111.40	0.22
J59	04:00:00	57.00	0.69	57.68	114.68	0.22
J1160	04:00:00	24.91	1.19	48.86	73.77	0.37
J1161	04:00:00	25.25	0.54	48.51	73.76	0.17
J431	04:00:00	16.90	1.06	57.25	74.15	0.33
J432	04:00:00	19.88	0.35	53.97	73.85	0.11
J433	04:00:00	27.35	0.31	46.14	73.49	0.10
J434	04:00:00	16.48	0.97	58.51	74.99	0.30
J435	04:00:00	12.15	0.13	62.86	75.01	0.04
J436	04:00:00	17.68	0.76	55.72	73.40	0.24
J438	04:00:00	10.43	1.51	64.81	75.24	0.47
J1169	04:00:00	55.42	0.44	79.07	134.49	0.14
J439	04:00:00	17.78	1.31	55.48	73.26	0.41
J330	04:00:00	58.25	0.63	46.62	104.87	0.20
J331	04:00:00	59.26	0.48	45.62	104.88	0.15
J332	04:00:00	44.18	1.32	27.64	71.82	0.41
J333	04:00:00	25.70	1.05	47.49	73.19	0.33
J334	04:00:00	29.28	1.05	43.90	73.18	0.32
J335	04:00:00	25.08	0.71	48.15	73.23	0.22
J336	04:00:00	23.81	0.16	49.51	73.32	0.05
J337	04:00:00	22.11	0.94	52.30	74.41	0.29
J231	04:00:00	71.90	1.16	32.73	104.63	0.37
J232	04:00:00	69.81	1.52	34.82	104.63	0.48
J233	04:00:00	74.23	0.00	60.43	134.66	0.00
J234	04:00:00	64.06	0.03	70.64	134.70	9.47e-03
J236	04:00:00	58.00	0.91	59.63	117.63	0.29
J237	04:00:00	73.14	1.53	44.48	117.62	0.49
J130	04:00:00	54.52	0.72	40.00	94.52	0.23
J131	04:00:00	88.05	1.13	45.96	134.01	0.36
J132	04:00:00	74.55	0.84	59.88	134.43	0.26
J133	04:00:00	69.58	0.86	64.84	134.42	0.27
J60	04:00:00	55.00	0.77	61.70	116.70	0.25
J134	04:00:00	80.70	0.59	54.02	134.72	0.19
J135	04:00:00	70.00	0.67	64.71	134.71	0.21
J62	04:00:00	60.00	0.45	54.63	114.63	0.15
J64	04:00:00	82.00	0.09	27.90	109.90	0.03
J65	04:00:00	82.00	0.41	27.90	109.90	0.13
J66	04:00:00	72.00	1.63	42.86	114.86	0.53
J67	04:00:00	81.00	0.10	30.39	111.39	0.03
J68	04:00:00	73.00	0.65	38.26	111.26	0.21
J69	04:00:00	71.00	0.61	40.25	111.25	0.20
J1170	04:00:00	54.54	0.82	79.95	134.49	0.26
J441	04:00:00	69.00	0.00	65.64	134.64	0.00
J444	04:00:00	29.46	0.79	45.11	74.57	0.24
J341	04:00:00	14.89	0.43	59.17	74.06	0.13
J344	04:00:00	54.70	1.05	79.79	134.49	0.34
J345	04:00:00	49.97	0.90	84.52	134.49	0.29
J347	04:00:00	54.40	0.26	80.09	134.49	0.08
J348	04:00:00	62.18	1.56	42.37	104.55	0.50
J349	04:00:00	36.41	1.09	68.04	104.45	0.35
J241	04:00:00	70.00	0.84	47.74	117.74	0.27
J242	04:00:00	65.00	0.65	52.74	117.74	0.21
J243	04:00:00	60.00	0.18	57.74	117.74	0.06
J244	04:00:00	70.00	1.31	47.63	117.63	0.42
J245	04:00:00	71.00	0.77	46.63	117.63	0.25
J246	04:00:00	55.00	1.26	62.68	117.68	0.41
J247	04:00:00	57.00	0.99	60.69	117.69	0.32
J248	04:00:00	54.00	1.39	63.81	117.81	0.45
J249	04:00:00	50.00	0.03	68.50	118.50	0.01
J142	04:00:00	5.53	0.35	70.49	76.02	0.11
J143	04:00:00	6.30	0.12	69.71	76.01	0.04
J70	04:00:00	70.00	0.18	41.25	111.25	0.06
J144	04:00:00	4.17	0.55	71.83	76.00	0.17
J71	04:00:00	77.00	0.21	34.32	111.32	0.07
J72	04:00:00	75.00	4.02e-04	36.30	111.30	1.30e-04
J73	04:00:00	80.00	0.89	31.33	111.33	0.29
J74	04:00:00	75.00	1.10	36.30	111.30	0.35
J76	04:00:00	70.00	0.91	41.24	111.24	0.29
J77	04:00:00	76.00	1.38	35.30	111.30	0.45
J78	04:00:00	60.56	0.14	44.39	104.95	0.04
J350	04:00:00	33.82	0.32	100.71	134.53	0.10
J351	04:00:00	25.51	1.13	78.93	104.44	0.36
J352	04:00:00	47.55	0.76	57.03	104.58	0.24
J353	04:00:00	22.64	0.60	81.82	104.46	0.19
J354	04:00:00	18.68	0.25	85.77	104.45	0.08
J355	04:00:00	28.87	1.17	75.17	104.04	0.37
J358	04:00:00	22.30	1.55	81.17	103.47	0.49
J359	04:00:00	17.57	0.88	85.81	103.38	0.28
J250	04:00:00	67.00	0.15	50.74	117.74	0.05
J251	04:00:00	75.19	1.26	59.40	134.59	0.40
J252	04:00:00	83.82	0.67	50.77	134.59	0.21
J253	04:00:00	74.69	0.77	59.27	133.96	0.24
J254	04:00:00	74.59	0.82	59.37	133.96	0.26
J257	04:00:00	105.58	0.35	28.98	134.56	0.11
J154	04:00:00	43.69	0.55	47.79	91.48	0.17
J155	04:00:00	44.41	0.16	47.04	91.45	0.05
J82	04:00:00	70.87	0.98	34.08	104.95	0.31
J156	04:00:00	56.16	0.28	35.67	91.83	0.09
J83	04:00:00	61.07	1.55	43.71	104.78	0.49
J84	04:00:00	43.82	0.16	86.21	130.03	0.05
J85	04:00:00	45.00	0.74	78.08	123.08	0.24
J159	04:00:00	37.41	0.45	52.63	90.04	0.14
J86	04:00:00	50.00	1.45	67.75	117.75	0.47
J87	04:00:00	42.63	1.25	87.95	130.58	0.40
J89	04:00:00	68.29	0.45	65.66	133.95	0.14
J360	04:00:00	20.71	1.12	82.61	103.32	0.36
J361	04:00:00	26.67	0.43	77.55	104.22	0.14
J362	04:00:00	43.66	0.15	60.94	104.60	0.05
J363	04:00:00	72.23	0.00	62.41	134.64	0.00
J364	04:00:00	65.00	0.00	69.64	134.64	0.00
J365	04:00:00	29.83	1.32	44.70	74.53	0.41
J366	04:00:00	14.46	0.50	60.15	74.61	0.15
J1208	04:00:00	42.74	0.39	61.86	104.60	0.12
J367	04:00:00	13.60	0.80	60.94	74.54	0.25
J369	04:00:00	20.27	0.42	54.28	74.55	0.13
J160	04:00:00	43.69	0.57	47.73	91.42	0.18
J161	04:00:00	22.81	0.07	59.42	82.23	0.02
J162	04:00:00	36.88	0.80	45.35	82.23	0.25
J163	04:00:00	16.20	0.34	66.03	82.23	0.11
J164	04:00:00	17.34	1.44	64.89	82.23	0.45
J91	04:00:00	64.09	0.98	69.86	133.95	0.31
J165	04:00:00	16.69	1.26	65.54	82.23	0.39
J166	04:00:00	23.95	1.55	58.28	82.23	0.48
J167	04:00:00	23.91	0.55	58.32	82.23	0.17
J94	04:00:00	30.75	0.90	99.13	129.88	0.29
J95	04:00:00	22.56	0.13	58.13	80.69	0.04
J96	04:00:00	30.00	1.06	50.68	80.68	0.33
J97	04:00:00	34.19	0.68	46.48	80.67	0.21
J976	04:00:00	6.30	1.60	69.71	76.01	0.50
J571	04:00:00	77.11	0.19	57.58	134.69	0.06
J572	04:00:00	76.40	1.54	58.29	134.69	0.49
J573	04:00:00	81.62	1.03	52.34	133.96	0.33
J574	04:00:00	67.36	0.58	66.59	133.95	0.18
J575	04:00:00	75.27	0.25	59.31	134.58	0.08
J576	04:00:00	80.80	0.80	53.91	134.71	0.25
J370	04:00:00	20.46	0.37	54.06	74.52	0.11
J371	04:00:00	68.81	0.00	65.83	134.64	0.00
J372	04:00:00	23.20	0.22	51.21	74.41	0.07
J373	04:00:00	27.22	0.05	47.19	74.41	0.01
J374	04:00:00	13.70	0.58	60.72	74.42	0.18
J375	04:00:00	22.72	0.91	51.70	74.42	0.28
J376	04:00:00	12.18	1.54	62.18	74.36	0.48
J377	04:00:00	13.12	0.90	61.29	74.41	0.28
J1219	04:00:00	14.48	0.68	66.60	81.08	0.21
J379	04:00:00	10.25	1.41	64.02	74.27	0.44
J171	04:00:00	8.81	1.38	72.74	81.55	0.43
J172	04:00:00	6.25	1.12	75.47	81.72	0.35
J173	04:00:00	13.00	1.20	69.20	82.20	0.37
J174	04:00:00	6.11	1.66	75.73	81.84	0.51
J175	04:00:00	6.84	0.57	75.00	81.84	0.18
J177	04:00:00	13.14	0.83	68.88	82.02	0.26
J179	04:00:00	15.01	0.69	66.06	81.07	0.21
J580	04:00:00	113.08	1.16	23.30	136.38	0.37
J486	04:00:00	86.11	0.30	48.14	134.25	0.09
J487	04:00:00	79.00	0.70	55.17	134.17	0.22
J488	04:00:00	89.16	0.91	45.23	134.39	0.29
J489	04:00:00	85.02	1.36	49.23	134.25	0.43
J381	04:00:00	36.02	0.90	68.43	104.45	0.29
J1223	04:00:00	3.48	0.71	71.01	74.49	0.22
J382	04:00:00	70.42	0.85	34.23	104.65	0.27
J384	04:00:00	42.51	0.00	62.09	104.60	0.00
J385	04:00:00	76.60	0.00	58.04	134.64	0.00
J180	04:00:00	8.77	0.82	72.79	81.56	0.25
J181	04:00:00	10.94	1.13	71.21	82.15	0.35
J1024	04:00:00	5.83	1.48	70.19	76.02	0.46
J183	04:00:00	13.28	0.62	68.26	81.54	0.19
J1025	04:00:00	8.61	0.50	67.41	76.02	0.16
J186	04:00:00	9.38	0.49	72.00	81.38	0.15
J187	04:00:00	9.81	0.25	71.73	81.54	0.08
J188	04:00:00	8.51	0.88	72.56	81.07	0.27
J189	04:00:00	7.58	0.37	73.49	81.07	0.12
J490	04:00:00	103.84	0.97	30.56	134.40	0.31
J491	04:00:00	76.93	0.61	57.75	134.68	0.19
J492	04:00:00	94.67	1.46	39.55	134.22	0.46
J493	04:00:00	77.62	0.80	56.71	134.33	0.25
J494	04:00:00	112.76	0.32	22.01	134.77	0.10
J495	04:00:00	91.15	1.14	43.57	134.72	0.36
J496	04:00:00	106.34	1.25	28.42	134.76	0.39
J497	04:00:00	112.63	1.02	23.65	136.28	0.32
J498	04:00:00	90.12	1.30	44.61	134.73	0.41
J500	04:00:00	75.52	0.27	60.91	136.43	0.09
J499	04:00:00	72.24	1.35	64.20	136.44	0.43
J501	04:00:00	80.97	0.34	55.50	136.47	0.11
J502	04:00:00	80.99	1.59	55.44	136.43	0.50
J503	04:00:00	99.65	0.11	36.83	136.48	0.03
J504	04:00:00	66.71	0.10	69.72	136.43	0.03
J394	04:00:00	70.53	0.00	64.11	134.64	0.00
J509	04:00:00	99.94	0.63	36.57	136.51	0.20
J399	04:00:00	75.00	0.00	59.64	134.64	0.00
J401	04:00:00	70.00	0.00	64.64	134.64	0.00
J406	04:00:00	71.74	0.00	62.90	134.64	0.00
J295	04:00:00	56.42	0.29	48.53	104.95	0.09
J407	04:00:00	68.00	0.00	66.64	134.64	0.00
J296	04:00:00	30.91	1.19	73.96	104.87	0.38
J408	04:00:00	7.93	0.89	68.20	76.13	0.28
J297	04:00:00	99.05	0.94	6.45	105.50	0.30
J298	04:00:00	77.46	0.36	27.67	105.13	0.11
J191	04:00:00	5.76	0.78	75.31	81.07	0.24
J303	04:00:00	50.42	1.24	54.32	104.74	0.40
J192	04:00:00	12.40	1.25	71.16	83.56	0.39
J193	04:00:00	12.99	0.66	70.57	83.56	0.21
J305	04:00:00	47.11	1.51	57.62	104.73	0.48
J194	04:00:00	13.46	1.24	68.75	82.21	0.39
J195	04:00:00	15.39	0.15	65.68	81.07	0.05
J196	04:00:00	13.35	1.06	68.88	82.23	0.33
J308	04:00:00	33.24	1.19	39.47	72.71	0.37
J198	04:00:00	18.54	0.03	55.98	74.52	8.10e-03
J200	04:00:00	15.75	0.72	58.77	74.52	0.22
J199	04:00:00	16.26	0.67	58.25	74.51	0.21
J201	04:00:00	44.86	0.46	27.11	71.97	0.14
J202	04:00:00	10.41	1.64	64.26	74.67	0.51
J203	04:00:00	11.03	1.34	63.26	74.29	0.41
J204	04:00:00	21.51	1.16	51.80	73.31	0.36
J205	04:00:00	16.66	0.70	57.91	74.57	0.22
J206	04:00:00	14.12	1.22	60.41	74.53	0.38
J207	04:00:00	18.86	0.46	55.67	74.53	0.14
J208	04:00:00	11.25	0.59	63.19	74.44	0.18
J101	04:00:00	28.65	0.72	50.95	79.60	0.22
J102	04:00:00	46.96	1.57	33.66	80.62	0.49
J109	04:00:00	17.47	0.20	62.11	79.58	0.06
J1	04:00:00	16.82	1.08	65.41	82.23	0.33
J2	04:00:00	11.97	0.58	69.12	81.09	0.18
J3	04:00:00	29.02	0.17	44.74	73.76	0.05
J4	04:00:00	20.88	0.31	53.02	73.90	0.10
J5	04:00:00	22.75	0.13	51.27	74.02	0.04
J6	04:00:00	15.25	0.72	58.40	73.65	0.22
J7	04:00:00	24.91	1.60	48.78	73.69	0.50
J8	04:00:00	31.17	0.90	42.54	73.71	0.28
J9	04:00:00	31.89	0.82	41.85	73.74	0.26
J10	04:00:00	14.62	1.62	58.93	73.55	0.50
J11	04:00:00	18.43	0.36	56.28	74.71	0.11
J12	04:00:00	29.27	0.63	43.67	72.94	0.20
J13	04:00:00	32.04	0.66	40.48	72.52	0.20
J14	04:00:00	37.91	0.00	31.38	69.29	0.00
J15	04:00:00	102.84	0.00	31.80	134.64	0.00
J16	04:00:00	88.89	0.00	45.75	134.64	0.00
J17	04:00:00	82.75	0.00	51.89	134.64	0.00
J18	04:00:00	84.96	0.00	49.68	134.64	0.00
J19	04:00:00	90.94	0.00	43.70	134.64	0.00
J20	04:00:00	80.00	0.00	54.64	134.64	0.00
J21	04:00:00	80.00	0.00	54.64	134.64	0.00
J22	04:00:00	82.74	0.00	51.91	134.65	0.00
J23	04:00:00	75.96	0.00	58.68	134.64	0.00
J25	04:00:00	94.13	0.11	40.36	134.49	0.03
J26	04:00:00	76.35	1.26	58.14	134.49	0.40
J27	04:00:00	82.08	1.17	52.41	134.49	0.37
J28	04:00:00	45.00	0.83	39.99	84.99	0.26
J29	04:00:00	49.00	0.26	35.99	84.99	0.08
J30	04:00:00	72.01	0.37	62.48	134.49	0.12
J31	04:00:00	69.78	0.54	64.71	134.49	0.17
J32	04:00:00	45.00	1.31	39.99	84.99	0.41
J33	04:00:00	48.00	0.08	36.99	84.99	0.03
J34	04:00:00	50.00	0.86	34.99	84.99	0.27
J35	04:00:00	67.78	1.26	66.71	134.49	0.40
J36	04:00:00	51.08	1.33	33.92	85.00	0.42
J37	04:00:00	66.19	0.54	68.34	134.53	0.17
J38	04:00:00	47.00	1.62	37.99	84.99	0.51
J24	04:00:00	34.53	1.34	39.86	74.39	0.42
J39	04:00:00	45.88	1.12	28.44	74.32	0.35
J40	04:00:00	12.80	1.51	61.63	74.43	0.47
J123	04:00:00	38.41	1.46	91.47	129.88	0.47
J140	04:00:00	39.94	0.69	89.94	129.88	0.22
J141	04:00:00	41.45	0.21	88.43	129.88	0.07
J157	04:00:00	31.49	1.59	98.39	129.88	0.51
J158	04:00:00	25.88	1.33	104.00	129.88	0.43
J168	04:00:00	40.21	1.16	89.67	129.88	0.38
J170	04:00:00	46.87	0.67	83.01	129.88	0.22
J176	04:00:00	50.64	0.03	79.25	129.89	8.79e-03
J178	04:00:00	58.87	0.28	71.02	129.89	0.09
J184	04:00:00	56.09	0.27	73.80	129.89	0.09
J185	04:00:00	43.71	0.85	86.18	129.89	0.27
J190	04:00:00	58.49	0.68	71.48	129.97	0.22
J197	04:00:00	41.86	0.18	88.20	130.06	0.06
J213	04:00:00	52.07	0.46	77.90	129.97	0.15
J215	04:00:00	75.76	1.07	54.20	129.96	0.35
J216	04:00:00	53.06	1.42	77.03	130.09	0.46
J227	04:00:00	52.89	0.83	79.72	132.61	0.27
J238	04:00:00	44.16	0.31	90.40	134.56	0.10
J239	04:00:00	43.49	1.49	91.07	134.56	0.48
J255	04:00:00	35.31	0.62	99.24	134.55	0.20
J256	04:00:00	40.00	0.00	94.80	134.80	0.00
J258	04:00:00	51.24	1.28	81.37	132.61	0.42
J260	04:00:00	32.53	0.36	102.00	134.53	0.12
J265	04:00:00	50.87	0.74	83.65	134.52	0.24
J266	04:00:00	39.83	0.39	94.70	134.53	0.13
J267	04:00:00	22.31	1.46	82.15	104.46	0.47
J61	04:00:00	72.00	1.02	39.25	111.25	0.33
J92	04:00:00	72.00	0.62	39.24	111.24	0.20
J268	04:00:00	69.68	0.65	35.27	104.95	0.21
J278	04:00:00	104.29	1.43	31.70	135.99	0.45
J281	04:00:00	83.72	0.98	52.24	135.96	0.31
J283	04:00:00	94.06	1.55	41.90	135.96	0.49
J284	04:00:00	77.38	0.86	58.58	135.96	0.27
J136	04:00:00	81.80	0.55	52.16	133.96	0.17
J137	04:00:00	9.11	1.45	72.45	81.56	0.45
J145	04:00:00	47.46	0.43	82.42	129.88	0.14
J118	04:00:00	75.00	0.43	36.41	111.41	0.14
J52	04:00:00	54.70	0.30	49.85	104.55	0.09
J81	04:00:00	50.00	0.58	34.98	84.98	0.18
J88	04:00:00	45.00	4.18e-03	40.00	85.00	1.32e-03
J90	04:00:00	84.00	1.24	50.59	134.59	0.39
J93	04:00:00	65.00	4.20	69.53	134.53	1.33
J147	04:00:00	68.00	0.46	66.69	134.69	0.15
J148	04:00:00	50.00	1.17	44.51	94.51	0.37
J149	04:00:00	40.00	0.67	54.51	94.51	0.21
J150	04:00:00	60.00	1.35	34.50	94.50	0.43
J151	04:00:00	60.00	1.24	73.86	133.86	0.39
J152	04:00:00	32.00	0.73	49.68	81.68	0.23
J153	04:00:00	60.00	0.13	73.86	133.86	0.04
J169	04:00:00	42.00	0.68	40.00	82.00	0.22
J182	04:00:00	40.00	0.57	42.00	82.00	0.18
J222	04:00:00	32.00	1.18	49.69	81.69	0.37
J224	04:00:00	37.00	0.52	44.69	81.69	0.16
J230	04:00:00	30.00	1.33	74.72	104.72	0.42
J235	04:00:00	53.00	0.25	51.73	104.73	0.08
J240	04:00:00	87.00	0.99	49.51	136.51	0.31
J269	04:00:00	56.00	0.00	35.84	91.84	0.00
J273	04:00:00	56.00	0.00	35.84	91.84	0.00
J274	04:00:00	56.00	0.00	35.84	91.84	0.00
J276	04:00:00	56.00	0.00	2.98	58.98	0.00
J280	04:00:00	56.00	0.00	2.98	58.98	0.00
J285	04:00:00	56.00	0.00	2.97	58.97	0.00
J287	04:00:00	40.00	0.00	28.89	68.89	0.00
J288	04:00:00	40.00	0.00	28.83	68.83	0.00
J289	04:00:00	40.00	0.00	28.89	68.89	0.00
J290	04:00:00	40.00	0.00	28.89	68.89	0.00
