		ELEVATION	BASEDEMAND	PRESSURE	HEAD	DEMAND
J37	20:00:00	66.19	0.54	70.48	136.67	0.45
J38	20:00:00	47.00	1.62	37.94	84.94	1.35
J24	20:00:00	34.53	1.34	38.63	73.16	1.16
J39	20:00:00	45.88	1.12	27.77	73.65	0.97
J40	20:00:00	12.80	1.51	59.34	72.14	1.31
J123	20:00:00	38.41	1.46	71.74	110.15	1.06
J140	20:00:00	39.94	0.69	70.21	110.15	0.50
J141	20:00:00	41.45	0.21	68.70	110.15	0.15
J157	20:00:00	31.49	1.59	78.66	110.15	1.15
J158	20:00:00	25.88	1.33	84.27	110.15	0.96
J168	20:00:00	40.21	1.16	69.95	110.16	0.84
J170	20:00:00	46.87	0.67	63.29	110.16	0.49
J176	20:00:00	50.64	0.03	59.54	110.18	0.02
J178	20:00:00	58.87	0.28	51.31	110.18	0.20
J184	20:00:00	56.09	0.27	54.08	110.17	0.20
J185	20:00:00	43.71	0.85	66.49	110.20	0.62
J190	20:00:00	58.49	0.68	52.06	110.55	0.49
J197	20:00:00	41.86	0.18	69.09	110.95	0.13
J213	20:00:00	52.07	0.46	58.48	110.55	0.33
J215	20:00:00	75.76	1.07	34.73	110.49	0.78
J216	20:00:00	53.06	1.42	58.00	111.06	1.03
J227	20:00:00	52.89	0.83	57.99	110.88	0.60
J238	20:00:00	44.16	0.31	66.63	110.79	0.23
J239	20:00:00	43.49	1.49	67.30	110.79	1.08
J255	20:00:00	35.31	0.62	75.45	110.76	0.45
J256	20:00:00	40.00	0.00	70.79	110.79	0.00
J258	20:00:00	51.24	1.28	59.63	110.87	0.93
J260	20:00:00	32.53	0.36	78.14	110.67	0.26
J265	20:00:00	50.87	0.74	59.75	110.62	0.54
J266	20:00:00	39.83	0.39	70.83	110.66	0.29
J267	20:00:00	22.31	1.46	87.43	109.74	1.22
J61	20:00:00	72.00	1.02	35.85	107.85	0.78
J92	20:00:00	72.00	0.62	35.78	107.78	0.48
J268	20:00:00	69.68	0.65	34.56	104.24	0.54
J278	20:00:00	104.29	1.43	28.59	132.88	1.20
J281	20:00:00	83.72	0.98	49.03	132.75	0.82
J283	20:00:00	94.06	1.55	38.69	132.75	1.30
J284	20:00:00	77.38	0.86	55.35	132.73	0.72
J136	20:00:00	81.80	0.55	48.88	130.68	0.46
J137	20:00:00	9.11	1.45	64.83	73.94	1.25
J145	20:00:00	47.46	0.43	62.69	110.15	0.31
J118	20:00:00	75.00	0.43	33.49	108.49	0.33
J52	20:00:00	54.70	0.30	54.44	109.14	0.25
J81	20:00:00	50.00	0.58	34.89	84.89	0.48
J88	20:00:00	45.00	4.18e-03	40.00	85.00	3.49e-03
J90	20:00:00	84.00	1.24	53.06	137.06	1.03
J93	20:00:00	65.00	4.20	71.65	136.65	3.51
J147	20:00:00	68.00	0.46	67.49	135.49	0.39
J148	20:00:00	50.00	1.17	44.44	94.44	0.98
J149	20:00:00	40.00	0.67	54.45	94.45	0.56
J150	20:00:00	60.00	1.35	34.40	94.40	1.13
J151	20:00:00	60.00	1.24	70.10	130.10	1.03
J152	20:00:00	32.00	0.73	48.08	80.08	0.61
J153	20:00:00	60.00	0.13	70.09	130.09	0.11
J169	20:00:00	42.00	0.68	40.00	82.00	0.57
J182	20:00:00	40.00	0.57	41.98	81.98	0.47
J222	20:00:00	32.00	1.18	48.13	80.13	0.99
J224	20:00:00	37.00	0.52	43.11	80.11	0.43
J230	20:00:00	30.00	1.33	74.36	104.36	1.11
J235	20:00:00	53.00	0.25	51.43	104.43	0.21
J240	20:00:00	87.00	0.99	48.28	135.28	0.83
J269	20:00:00	56.00	0.00	22.27	78.27	0.00
J273	20:00:00	56.00	0.00	22.28	78.28	0.00
J274	20:00:00	56.00	0.00	22.27	78.27	0.00
J276	20:00:00	56.00	0.00	2.99	58.99	0.00
J280	20:00:00	56.00	0.00	2.99	58.99	0.00
J285	20:00:00	56.00	0.00	2.98	58.98	0.00
J287	20:00:00	40.00	0.00	26.82	66.82	0.00
J288	20:00:00	40.00	0.00	26.82	66.82	0.00
J289	20:00:00	40.00	0.00	26.78	66.78	0.00
J290	20:00:00	40.00	0.00	26.74	66.74	0.00
J291	20:00:00	65.00	0.00	83.66	148.66	0.00
J292	20:00:00	40.00	0.00	70.79	110.79	0.00
J299	20:00:00	40.00	0.00	26.82	66.82	0.00
J300	20:00:00	40.00	0.00	26.82	66.82	0.00
J301	20:00:00	44.00	0.00	25.66	69.66	0.00
J302	20:00:00	44.00	0.00	25.59	69.59	0.00
J304	20:00:00	44.00	0.00	62.79	106.79	0.00
J306	20:00:00	44.00	0.00	62.79	106.79	0.00
J307	20:00:00	44.00	0.00	25.47	69.47	0.00
J309	20:00:00	44.00	0.00	25.47	69.47	0.00
J317	20:00:00	44.00	0.00	68.19	112.19	0.00
J323	20:00:00	44.00	0.00	68.19	112.19	0.00
R1	20:00:00	59.00	0.00	0.00	59.00	-119.09
T3	20:00:00	112.90	0.00	4.07	116.97	-17.06
T1	20:00:00	71.50	0.00	3.01	74.51	-85.89
T7	20:00:00	102.00	0.00	2.68	104.68	-1.32
T6	20:00:00	101.50	0.00	5.50	107.00	0.00
T5	20:00:00	105.80	0.00	4.47	110.27	-25.92
T2	20:00:00	65.00	0.00	1.35	66.35	29.10
T4	20:00:00	132.50	0.00	2.81	135.31	-5.73
J511	21:00:00	105.08	1.18	30.02	135.10	0.98
J411	21:00:00	8.95	0.89	63.63	72.58	0.66
J414	21:00:00	34.36	0.97	34.80	69.16	0.72
J415	21:00:00	65.00	0.00	83.56	148.56	0.00
J416	21:00:00	42.60	0.00	97.75	140.35	0.00
J417	21:00:00	37.38	1.29	30.69	68.07	0.96
J418	21:00:00	37.39	0.00	30.16	67.55	0.00
J419	21:00:00	40.50	0.00	26.63	67.13	0.00
J310	21:00:00	51.84	1.36	53.69	105.53	0.95
J311	21:00:00	55.95	1.18	49.61	105.56	0.83
J312	21:00:00	68.48	0.08	36.33	104.81	0.05
J313	21:00:00	67.66	0.69	37.15	104.81	0.48
J314	21:00:00	14.94	1.44	57.39	72.33	1.06
J315	21:00:00	16.03	1.32	56.18	72.21	0.98
J316	21:00:00	12.98	0.62	59.29	72.27	0.46
J318	21:00:00	53.67	1.60	51.20	104.87	1.13
J319	21:00:00	39.29	1.45	65.58	104.87	1.02
J210	21:00:00	7.01	0.09	65.68	72.69	0.07
J211	21:00:00	11.27	1.58	61.46	72.73	1.17
J212	21:00:00	7.87	0.61	64.81	72.68	0.45
J214	21:00:00	8.67	0.87	63.94	72.61	0.65
J217	21:00:00	10.98	1.28	61.52	72.50	0.95
J218	21:00:00	7.68	0.09	65.02	72.70	0.07
J219	21:00:00	52.00	0.99	54.37	106.37	0.71
J110	21:00:00	15.92	0.78	58.21	74.13	0.58
J420	21:00:00	39.99	0.00	27.31	67.30	0.00
J421	21:00:00	37.09	1.04	30.82	67.91	0.77
J422	21:00:00	38.81	0.00	28.74	67.55	0.00
J1153	21:00:00	22.14	0.44	49.91	72.05	0.33
J1154	21:00:00	14.61	0.47	57.57	72.18	0.34
J1155	21:00:00	15.54	1.38	56.58	72.12	1.02
J425	21:00:00	64.42	0.00	75.49	139.91	0.00
J426	21:00:00	72.71	0.00	66.89	139.60	0.00
J1157	21:00:00	22.21	1.64	49.84	72.05	1.22
J427	21:00:00	67.65	0.00	72.66	140.31	0.00
J1158	21:00:00	28.25	0.38	43.87	72.12	0.28
J428	21:00:00	16.20	1.16	45.22	61.42	0.86
J429	21:00:00	12.56	1.63	49.05	61.61	1.21
J320	21:00:00	46.73	0.41	59.35	106.08	0.29
J321	21:00:00	44.59	0.89	61.41	106.00	0.63
J322	21:00:00	48.02	0.18	57.98	106.00	0.12
J324	21:00:00	42.38	1.67	63.62	106.00	1.17
J1056	21:00:00	7.64	1.13	64.95	72.59	0.83
J327	21:00:00	49.68	0.03	56.74	106.42	0.02
J1058	21:00:00	13.58	0.96	53.50	67.08	0.71
J328	21:00:00	45.69	0.17	60.97	106.66	0.12
J329	21:00:00	44.05	0.17	69.30	113.35	0.12
J220	21:00:00	80.00	1.33	26.30	106.30	0.95
J221	21:00:00	97.07	0.47	7.56	104.63	0.33
J225	21:00:00	13.33	0.08	58.75	72.08	0.06
J226	21:00:00	11.10	0.49	60.60	71.70	0.37
J50	21:00:00	71.80	0.64	32.71	104.51	0.45
J51	21:00:00	77.42	0.50	27.09	104.51	0.35
J53	21:00:00	85.00	1.58	23.85	108.85	1.13
J54	21:00:00	80.00	1.63	27.65	107.65	1.17
J128	21:00:00	85.26	0.67	45.33	130.59	0.56
J55	21:00:00	71.00	0.46	36.84	107.84	0.33
J129	21:00:00	62.85	0.27	66.74	129.59	0.22
J56	21:00:00	72.00	0.27	35.56	107.56	0.19
J57	21:00:00	59.00	1.08	47.81	106.81	0.77
J58	21:00:00	76.00	0.68	31.87	107.87	0.49
J59	21:00:00	57.00	0.69	49.69	106.69	0.49
J1160	21:00:00	24.91	1.19	43.06	67.97	0.88
J1161	21:00:00	25.25	0.54	42.67	67.92	0.40
J431	21:00:00	16.90	1.06	51.80	68.70	0.78
J432	21:00:00	19.88	0.35	48.63	68.51	0.26
J433	21:00:00	27.35	0.31	43.54	70.89	0.23
J434	21:00:00	16.48	0.97	55.73	72.21	0.72
J435	21:00:00	12.15	0.13	57.78	69.93	0.10
J436	21:00:00	17.68	0.76	44.17	61.85	0.57
J438	21:00:00	10.43	1.51	62.01	72.44	1.12
J1169	21:00:00	55.42	0.44	54.25	109.67	0.33
J439	21:00:00	17.78	1.31	43.38	61.16	0.97
J330	21:00:00	58.25	0.63	47.18	105.43	0.44
J331	21:00:00	59.26	0.48	46.13	105.39	0.34
J332	21:00:00	44.18	1.32	25.93	70.11	0.98
J333	21:00:00	25.70	1.05	45.10	70.80	0.78
J334	21:00:00	29.28	1.05	41.45	70.73	0.77
J335	21:00:00	25.08	0.71	45.92	71.00	0.53
J336	21:00:00	23.81	0.16	47.63	71.44	0.12
J337	21:00:00	22.11	0.94	50.91	73.02	0.69
J231	21:00:00	71.90	1.16	39.85	111.75	0.81
J232	21:00:00	69.81	1.52	41.94	111.75	1.07
J233	21:00:00	74.23	0.00	62.48	136.71	0.00
J234	21:00:00	64.06	0.03	71.87	135.93	0.03
J236	21:00:00	58.00	0.91	47.37	105.37	0.65
J237	21:00:00	73.14	1.53	32.23	105.37	1.09
J130	21:00:00	54.52	0.72	40.00	94.52	0.60
J131	21:00:00	88.05	1.13	42.76	130.81	0.95
J132	21:00:00	74.55	0.84	59.05	133.60	0.70
J133	21:00:00	69.58	0.86	63.96	133.54	0.72
J60	21:00:00	55.00	0.77	51.44	106.44	0.55
J134	21:00:00	80.70	0.59	54.85	135.55	0.49
J135	21:00:00	70.00	0.67	65.72	135.72	0.56
J62	21:00:00	60.00	0.45	46.70	106.70	0.32
J64	21:00:00	82.00	0.09	27.09	109.09	0.07
J65	21:00:00	82.00	0.41	27.09	109.09	0.29
J66	21:00:00	72.00	1.63	35.02	107.02	1.17
J67	21:00:00	81.00	0.10	26.89	107.89	0.07
J68	21:00:00	73.00	0.65	34.32	107.32	0.46
J69	21:00:00	71.00	0.61	36.30	107.30	0.43
J1170	21:00:00	54.54	0.82	55.13	109.67	0.61
J441	21:00:00	69.00	0.00	71.38	140.38	0.00
J444	21:00:00	29.46	0.79	42.72	72.18	0.59
J341	21:00:00	14.89	0.43	57.31	72.20	0.32
J344	21:00:00	54.70	1.05	54.97	109.67	0.79
J345	21:00:00	49.97	0.90	59.69	109.66	0.68
J347	21:00:00	54.40	0.26	55.27	109.67	0.20
J348	21:00:00	62.18	1.56	49.55	111.73	1.10
J349	21:00:00	36.41	1.09	75.36	111.77	0.77
J241	21:00:00	70.00	0.84	36.41	106.41	0.60
J242	21:00:00	65.00	0.65	41.41	106.41	0.47
J243	21:00:00	60.00	0.18	46.39	106.39	0.13
J244	21:00:00	70.00	1.31	35.89	105.89	0.93
J245	21:00:00	71.00	0.77	35.48	106.48	0.55
J246	21:00:00	55.00	1.26	50.44	105.44	0.90
J247	21:00:00	57.00	0.99	48.73	105.73	0.71
J248	21:00:00	54.00	1.39	51.72	105.72	0.99
J249	21:00:00	50.00	0.03	56.44	106.44	0.02
J142	21:00:00	5.53	0.35	67.20	72.73	0.26
J143	21:00:00	6.30	0.12	66.42	72.72	0.09
J70	21:00:00	70.00	0.18	37.30	107.30	0.13
J144	21:00:00	4.17	0.55	68.50	72.67	0.41
J71	21:00:00	77.00	0.21	30.60	107.60	0.15
J72	21:00:00	75.00	4.02e-04	32.50	107.50	2.87e-04
J73	21:00:00	80.00	0.89	27.62	107.62	0.64
J74	21:00:00	75.00	1.10	32.49	107.49	0.78
J76	21:00:00	70.00	0.91	37.24	107.24	0.65
J77	21:00:00	76.00	1.38	31.50	107.50	0.99
J78	21:00:00	60.56	0.14	43.86	104.42	0.10
J350	21:00:00	33.82	0.32	76.05	109.87	0.24
J351	21:00:00	25.51	1.13	86.26	111.77	0.79
J352	21:00:00	47.55	0.76	65.16	112.71	0.53
J353	21:00:00	22.64	0.60	89.53	112.17	0.42
J354	21:00:00	18.68	0.25	93.49	112.17	0.18
J355	21:00:00	28.87	1.17	81.17	110.04	0.82
J358	21:00:00	22.30	1.55	85.23	107.53	1.09
J359	21:00:00	17.57	0.88	89.60	107.17	0.62
J250	21:00:00	67.00	0.15	39.47	106.47	0.11
J251	21:00:00	75.19	1.26	61.71	136.90	1.06
J252	21:00:00	83.82	0.67	53.08	136.90	0.56
J253	21:00:00	74.69	0.77	55.78	130.47	0.64
J254	21:00:00	74.59	0.82	55.88	130.47	0.69
J257	21:00:00	105.58	0.35	31.14	136.72	0.29
J154	21:00:00	43.69	0.55	34.77	78.46	0.41
J155	21:00:00	44.41	0.16	34.04	78.45	0.12
J82	21:00:00	70.87	0.98	33.65	104.52	0.69
J156	21:00:00	56.16	0.28	22.45	78.61	0.21
J83	21:00:00	61.07	1.55	43.99	105.06	1.09
J84	21:00:00	43.82	0.16	62.56	106.38	0.12
J85	21:00:00	45.00	0.74	61.40	106.40	0.53
J159	21:00:00	37.41	0.45	40.46	77.87	0.34
J86	21:00:00	50.00	1.45	56.37	106.37	1.04
J87	21:00:00	42.63	1.25	63.75	106.38	0.89
J89	21:00:00	68.29	0.45	62.16	130.45	0.38
J360	21:00:00	20.71	1.12	86.17	106.88	0.79
J361	21:00:00	26.67	0.43	84.12	110.79	0.30
J362	21:00:00	43.66	0.15	69.84	113.50	0.11
J363	21:00:00	72.23	0.00	66.22	138.45	0.00
J364	21:00:00	65.00	0.00	72.92	137.92	0.00
J365	21:00:00	29.83	1.32	42.32	72.15	0.98
J366	21:00:00	14.46	0.50	57.76	72.22	0.37
J1208	21:00:00	42.74	0.39	71.03	113.77	0.28
J367	21:00:00	13.60	0.80	58.57	72.17	0.59
J369	21:00:00	20.27	0.42	51.90	72.17	0.31
J160	21:00:00	43.69	0.57	34.75	78.44	0.42
J161	21:00:00	22.81	0.07	51.84	74.65	0.06
J162	21:00:00	36.88	0.80	37.77	74.65	0.60
J163	21:00:00	16.20	0.34	58.45	74.65	0.25
J164	21:00:00	17.34	1.44	57.31	74.65	1.07
J91	21:00:00	64.09	0.98	66.35	130.44	0.82
J165	21:00:00	16.69	1.26	57.96	74.65	0.93
J166	21:00:00	23.95	1.55	50.70	74.65	1.15
J167	21:00:00	23.91	0.55	50.74	74.65	0.41
J94	21:00:00	30.75	0.90	78.57	109.32	0.68
J95	21:00:00	22.56	0.13	51.57	74.13	0.10
J96	21:00:00	30.00	1.06	44.12	74.12	0.78
J97	21:00:00	34.19	0.68	39.91	74.10	0.51
J976	21:00:00	6.30	1.60	66.42	72.72	1.19
J571	21:00:00	77.11	0.19	58.21	135.32	0.16
J572	21:00:00	76.40	1.54	58.92	135.32	1.29
J573	21:00:00	81.62	1.03	48.89	130.51	0.87
J574	21:00:00	67.36	0.58	63.06	130.42	0.48
J575	21:00:00	75.27	0.25	59.33	134.60	0.21
J576	21:00:00	80.80	0.80	54.68	135.48	0.67
J370	21:00:00	20.46	0.37	51.69	72.15	0.27
J371	21:00:00	68.81	0.00	68.95	137.76	0.00
J372	21:00:00	23.20	0.22	49.09	72.29	0.16
J373	21:00:00	27.22	0.05	45.07	72.29	0.04
J374	21:00:00	13.70	0.58	58.61	72.31	0.43
J375	21:00:00	22.72	0.91	49.60	72.32	0.68
J376	21:00:00	12.18	1.54	59.86	72.04	1.14
J377	21:00:00	13.12	0.90	59.17	72.29	0.66
J1219	21:00:00	14.48	0.68	59.77	74.25	0.50
J379	21:00:00	10.25	1.41	61.30	71.55	1.05
J171	21:00:00	8.81	1.38	65.50	74.31	1.02
J172	21:00:00	6.25	1.12	68.10	74.35	0.83
J173	21:00:00	13.00	1.20	61.64	74.64	0.89
J174	21:00:00	6.11	1.66	68.29	74.40	1.23
J175	21:00:00	6.84	0.57	67.56	74.40	0.42
J177	21:00:00	13.14	0.83	61.44	74.58	0.61
J179	21:00:00	15.01	0.69	59.24	74.25	0.51
J580	21:00:00	113.08	1.16	22.02	135.10	0.97
J486	21:00:00	86.11	0.30	46.21	132.32	0.25
J487	21:00:00	79.00	0.70	52.85	131.85	0.59
J488	21:00:00	89.16	0.91	43.95	133.11	0.76
J489	21:00:00	85.02	1.36	47.30	132.32	1.14
J381	21:00:00	36.02	0.90	75.75	111.77	0.63
J1223	21:00:00	3.48	0.71	69.21	72.69	0.53
J382	21:00:00	70.42	0.85	41.35	111.77	0.60
J384	21:00:00	42.51	0.00	71.37	113.88	0.00
J385	21:00:00	76.60	0.00	60.59	137.19	0.00
J180	21:00:00	8.77	0.82	65.54	74.31	0.60
J181	21:00:00	10.94	1.13	63.66	74.60	0.84
J1024	21:00:00	5.83	1.48	66.90	72.73	1.09
J183	21:00:00	13.28	0.62	61.02	74.30	0.46
J1025	21:00:00	8.61	0.50	64.12	72.73	0.37
J186	21:00:00	9.38	0.49	64.90	74.28	0.36
J187	21:00:00	9.81	0.25	64.49	74.30	0.19
J188	21:00:00	8.51	0.88	65.74	74.25	0.65
J189	21:00:00	7.58	0.37	66.67	74.25	0.28
J490	21:00:00	103.84	0.97	29.28	133.12	0.82
J491	21:00:00	76.93	0.61	58.34	135.27	0.51
J492	21:00:00	94.67	1.46	37.38	132.05	1.22
J493	21:00:00	77.62	0.80	55.32	132.94	0.67
J494	21:00:00	112.76	0.32	22.55	135.31	0.27
J495	21:00:00	91.15	1.14	44.27	135.42	0.95
J496	21:00:00	106.34	1.25	29.02	135.36	1.04
J497	21:00:00	112.63	1.02	22.48	135.11	0.86
J498	21:00:00	90.12	1.30	45.34	135.46	1.09
J500	21:00:00	75.52	0.27	59.28	134.80	0.23
J499	21:00:00	72.24	1.35	62.56	134.80	1.13
J501	21:00:00	80.97	0.34	54.07	135.04	0.28
J502	21:00:00	80.99	1.59	53.79	134.78	1.33
J503	21:00:00	99.65	0.11	35.45	135.10	0.09
J504	21:00:00	66.71	0.10	68.09	134.80	0.09
J394	21:00:00	70.53	0.00	69.85	140.38	0.00
J509	21:00:00	99.94	0.63	35.16	135.10	0.53
J399	21:00:00	75.00	0.00	65.38	140.38	0.00
J401	21:00:00	70.00	0.00	70.38	140.38	0.00
J406	21:00:00	71.74	0.00	68.64	140.38	0.00
J295	21:00:00	56.42	0.29	47.99	104.41	0.20
J407	21:00:00	68.00	0.00	72.38	140.38	0.00
J296	21:00:00	30.91	1.19	73.17	104.08	0.84
J408	21:00:00	7.93	0.89	64.83	72.76	0.66
J297	21:00:00	99.05	0.94	5.54	104.59	0.66
J298	21:00:00	77.46	0.36	27.26	104.72	0.25
J191	21:00:00	5.76	0.78	68.48	74.24	0.58
J303	21:00:00	50.42	1.24	54.44	104.86	0.87
J192	21:00:00	12.40	1.25	62.79	75.19	0.93
J193	21:00:00	12.99	0.66	62.20	75.19	0.49
J305	21:00:00	47.11	1.51	57.73	104.84	1.06
J194	21:00:00	13.46	1.24	61.19	74.65	0.92
J195	21:00:00	15.39	0.15	58.86	74.25	0.11
J196	21:00:00	13.35	1.06	61.31	74.66	0.78
J308	21:00:00	33.24	1.19	37.65	70.89	0.88
J198	21:00:00	18.54	0.03	53.63	72.17	0.02
J200	21:00:00	15.75	0.72	56.42	72.17	0.53
J199	21:00:00	16.26	0.67	55.93	72.19	0.50
J201	21:00:00	44.86	0.46	25.38	70.24	0.34
J202	21:00:00	10.41	1.64	62.12	72.53	1.22
J203	21:00:00	11.03	1.34	61.42	72.45	0.99
J204	21:00:00	21.51	1.16	49.93	71.44	0.86
J205	21:00:00	16.66	0.70	55.53	72.19	0.52
J206	21:00:00	14.12	1.22	58.05	72.17	0.91
J207	21:00:00	18.86	0.46	53.28	72.14	0.34
J208	21:00:00	11.25	0.59	61.65	72.90	0.44
J101	21:00:00	28.65	0.72	45.15	73.80	0.54
J102	21:00:00	46.96	1.57	27.10	74.06	1.17
J109	21:00:00	17.47	0.20	56.33	73.80	0.15
J1	21:00:00	16.82	1.08	57.83	74.65	0.80
J2	21:00:00	11.97	0.58	62.28	74.25	0.43
J3	21:00:00	29.02	0.17	38.91	67.93	0.13
J4	21:00:00	20.88	0.31	47.01	67.89	0.23
J5	21:00:00	22.75	0.13	45.54	68.29	0.10
J6	21:00:00	15.25	0.72	51.83	67.08	0.53
J7	21:00:00	24.91	1.60	42.38	67.29	1.18
J8	21:00:00	31.17	0.90	36.33	67.50	0.67
J9	21:00:00	31.89	0.82	35.90	67.79	0.61
J10	21:00:00	14.62	1.62	47.96	62.58	1.20
J11	21:00:00	18.43	0.36	53.54	71.97	0.27
J12	21:00:00	29.27	0.63	41.18	70.45	0.47
J13	21:00:00	32.04	0.66	38.08	70.12	0.49
J14	21:00:00	37.91	0.00	29.64	67.55	0.00
J15	21:00:00	102.84	0.00	37.54	140.38	0.00
J16	21:00:00	88.89	0.00	51.49	140.38	0.00
J17	21:00:00	82.75	0.00	57.63	140.38	0.00
J18	21:00:00	84.96	0.00	55.42	140.38	0.00
J19	21:00:00	90.94	0.00	49.44	140.38	0.00
J20	21:00:00	80.00	0.00	60.38	140.38	0.00
J21	21:00:00	80.00	0.00	60.38	140.38	0.00
J22	21:00:00	82.74	0.00	54.25	136.99	0.00
J23	21:00:00	75.96	0.00	61.35	137.31	0.00
J25	21:00:00	94.13	0.11	42.16	136.29	0.09
J26	21:00:00	76.35	1.26	59.94	136.29	1.05
J27	21:00:00	82.08	1.17	54.21	136.29	0.98
J28	21:00:00	45.00	0.83	39.93	84.93	0.69
J29	21:00:00	49.00	0.26	35.96	84.96	0.22
J30	21:00:00	72.01	0.37	64.28	136.29	0.31
J31	21:00:00	69.78	0.54	66.51	136.29	0.45
J32	21:00:00	45.00	1.31	39.94	84.94	1.09
J33	21:00:00	48.00	0.08	36.94	84.94	0.07
J34	21:00:00	50.00	0.86	34.95	84.95	0.72
J35	21:00:00	67.78	1.26	68.51	136.29	1.06
J36	21:00:00	51.08	1.33	33.89	84.97	1.12
J37	21:00:00	66.19	0.54	70.31	136.50	0.45
J38	21:00:00	47.00	1.62	37.94	84.94	1.36
J24	21:00:00	34.53	1.34	38.60	73.13	0.99
J39	21:00:00	45.88	1.12	27.61	73.49	0.83
J40	21:00:00	12.80	1.51	59.58	72.38	1.12
J123	21:00:00	38.41	1.46	70.91	109.32	1.09
J140	21:00:00	39.94	0.69	69.38	109.32	0.52
J141	21:00:00	41.45	0.21	67.87	109.32	0.15
J157	21:00:00	31.49	1.59	77.83	109.32	1.19
J158	21:00:00	25.88	1.33	83.44	109.32	1.00
J168	21:00:00	40.21	1.16	69.12	109.33	0.87
J170	21:00:00	46.87	0.67	62.46	109.33	0.50
J176	21:00:00	50.64	0.03	58.71	109.35	0.02
J178	21:00:00	58.87	0.28	50.48	109.35	0.21
J184	21:00:00	56.09	0.27	53.25	109.34	0.21
J185	21:00:00	43.71	0.85	65.66	109.37	0.64
J190	21:00:00	58.49	0.68	51.25	109.74	0.51
J197	21:00:00	41.86	0.18	68.31	110.17	0.13
J213	21:00:00	52.07	0.46	57.67	109.74	0.34
J215	21:00:00	75.76	1.07	33.92	109.68	0.80
J216	21:00:00	53.06	1.42	57.23	110.29	1.06
J227	21:00:00	52.89	0.83	57.20	110.09	0.62
J238	21:00:00	44.16	0.31	65.84	110.00	0.23
J239	21:00:00	43.49	1.49	66.50	109.99	1.12
J255	21:00:00	35.31	0.62	74.65	109.96	0.47
J256	21:00:00	40.00	0.00	70.00	110.00	0.00
J258	21:00:00	51.24	1.28	58.85	110.09	0.96
J260	21:00:00	32.53	0.36	77.34	109.87	0.27
J265	21:00:00	50.87	0.74	58.95	109.82	0.56
J266	21:00:00	39.83	0.39	70.02	109.85	0.29
J267	21:00:00	22.31	1.46	89.86	112.17	1.03
J61	21:00:00	72.00	1.02	35.31	107.31	0.73
J92	21:00:00	72.00	0.62	35.25	107.25	0.45
J268	21:00:00	69.68	0.65	34.74	104.42	0.46
J278	21:00:00	104.29	1.43	28.39	132.68	1.20
J281	21:00:00	83.72	0.98	48.83	132.55	0.82
J283	21:00:00	94.06	1.55	38.50	132.56	1.30
J284	21:00:00	77.38	0.86	55.15	132.53	0.72
J136	21:00:00	81.80	0.55	48.69	130.49	0.46
J137	21:00:00	9.11	1.45	65.20	74.31	1.07
J145	21:00:00	47.46	0.43	61.86	109.32	0.32
J118	21:00:00	75.00	0.43	32.87	107.87	0.31
J52	21:00:00	54.70	0.30	57.03	111.73	0.21
J81	21:00:00	50.00	0.58	34.89	84.89	0.48
J88	21:00:00	45.00	4.18e-03	40.00	85.00	3.49e-03
J90	21:00:00	84.00	1.24	52.90	136.90	1.04
J93	21:00:00	65.00	4.20	71.49	136.49	3.52
J147	21:00:00	68.00	0.46	67.31	135.31	0.39
J148	21:00:00	50.00	1.17	44.44	94.44	0.98
J149	21:00:00	40.00	0.67	54.45	94.45	0.56
J150	21:00:00	60.00	1.35	34.40	94.40	1.13
J151	21:00:00	60.00	1.24	69.90	129.90	1.03
J152	21:00:00	32.00	0.73	48.08	80.08	0.61
J153	21:00:00	60.00	0.13	69.90	129.90	0.11
J169	21:00:00	42.00	0.68	40.00	82.00	0.57
J182	21:00:00	40.00	0.57	41.98	81.98	0.47
J222	21:00:00	32.00	1.18	48.13	80.13	0.99
J224	21:00:00	37.00	0.52	43.11	80.11	0.44
J230	21:00:00	30.00	1.33	74.78	104.78	0.94
J235	21:00:00	53.00	0.25	51.83	104.83	0.18
J240	21:00:00	87.00	0.99	48.09	135.09	0.83
J269	21:00:00	56.00	0.00	22.61	78.61	0.00
J273	21:00:00	56.00	0.00	22.62	78.62	0.00
J274	21:00:00	56.00	0.00	22.61	78.61	0.00
J276	21:00:00	56.00	0.00	2.99	58.99	0.00
J280	21:00:00	56.00	0.00	2.99	58.99	0.00
J285	21:00:00	56.00	0.00	2.98	58.98	0.00
J287	21:00:00	40.00	0.00	27.11	67.11	0.00
J288	21:00:00	40.00	0.00	27.11	67.11	0.00
J289	21:00:00	40.00	0.00	27.07	67.07	0.00
J290	21:00:00	40.00	0.00	27.03	67.03	0.00
J291	21:00:00	65.00	0.00	83.58	148.58	0.00
J292	21:00:00	40.00	0.00	70.00	110.00	0.00
J299	21:00:00	40.00	0.00	27.11	67.11	0.00
J300	21:00:00	40.00	0.00	27.11	67.11	0.00
J301	21:00:00	44.00	0.00	25.97	69.97	0.00
J302	21:00:00	44.00	0.00	25.91	69.91	0.00
J304	21:00:00	44.00	0.00	62.38	106.38	0.00
J306	21:00:00	44.00	0.00	62.38	106.38	0.00
J307	21:00:00	44.00	0.00	25.79	69.79	0.00
J309	21:00:00	44.00	0.00	25.79	69.79	0.00
J317	21:00:00	44.00	0.00	70.03	114.03	0.00
J323	21:00:00	44.00	0.00	70.03	114.03	0.00
R1	21:00:00	59.00	0.00	0.00	59.00	-118.50
