		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
P177	12:00:00	56.80	102.00	100.61	1.15	0.14	0.50	0.05
P18	12:00:00	283.30	508.00	100.30	145.01	0.72	1.59	0.03
P184	12:00:00	59.38	101.60	95.91	8.04	0.99	20.69	0.04
P19	12:00:00	750.87	508.00	97.70	135.30	0.67	1.47	0.03
P195	12:00:00	144.33	76.00	80.63	1.40	0.31	4.62	0.07
P2	12:00:00	295.25	203.00	62.05	7.37	0.23	1.35	0.10
P20	12:00:00	579.67	508.00	89.67	117.16	0.58	1.32	0.04
P201	12:00:00	102.19	76.00	96.63	1.21	0.27	2.52	0.05
P21	12:00:00	176.48	406.00	86.69	94.58	0.73	2.81	0.04
P211	12:00:00	202.33	76.00	84.05	0.91	0.20	1.91	0.07
P215	12:00:00	140.76	254.00	81.42	83.32	1.64	24.52	0.05
P218	12:00:00	54.55	102.00	81.77	1.03	0.13	0.61	0.08
P219	12:00:00	67.98	102.00	86.84	0.53	0.06	0.16	0.08
P22	12:00:00	567.30	406.00	81.11	184.40	1.42	10.95	0.04
P220	12:00:00	68.33	76.00	93.74	1.05	0.23	2.05	0.06
P223	12:00:00	108.98	203.00	93.22	1.11	0.03	0.02	0.06
P225	12:00:00	120.77	102.00	92.69	0.14	0.02	0.01	0.08
P228	12:00:00	42.72	76.00	99.29	1.69	0.37	4.45	0.05
P23	12:00:00	316.91	508.00	77.16	182.87	0.90	3.97	0.05
P230	12:00:00	114.61	76.00	77.40	1.67	0.37	6.90	0.08
P231	12:00:00	12.21	76.00	98.42	1.19	0.26	2.36	0.05
P233	12:00:00	58.66	76.00	97.30	0.83	0.18	1.25	0.06
P234	12:00:00	41.63	76.00	87.21	1.67	0.37	5.54	0.06
P235	12:00:00	92.74	76.00	84.32	4.84	1.07	42.14	0.06
P237	12:00:00	12.01	305.00	5.06	48.68	0.67	638.37	8.61
P238	12:00:00	12.59	304.80	104.74	48.68	0.67	2.34	0.03
P24	12:00:00	71.05	508.00	88.62	160.20	0.79	2.40	0.04
P241	12:00:00	49.46	102.00	114.84	0.61	0.07	0.12	0.04
P242	12:00:00	25.06	152.40	99.01	2.09	0.11	0.22	0.05
P243	12:00:00	57.08	203.20	82.80	4.61	0.14	0.33	0.07
P245	12:00:00	18.65	152.40	120.40	35.30	1.94	29.17	0.02
P246	12:00:00	56.94	152.40	121.60	22.07	1.21	12.00	0.02
P248	12:00:00	6.96	152.40	110.07	20.46	1.12	12.54	0.03
P249	12:00:00	28.43	51.00	85.38	0.86	0.42	11.61	0.07
P25	12:00:00	4.30	508.00	74.38	176.37	0.87	3.97	0.05
P251	12:00:00	11.49	152.00	103.73	17.90	0.99	11.07	0.03
P252	12:00:00	135.44	305.00	82.30	48.68	0.67	3.64	0.05
P255	12:00:00	76.14	51.00	71.47	0.23	0.11	1.40	0.11
P256	12:00:00	55.17	305.00	94.86	48.68	0.67	2.80	0.04
P258	12:00:00	79.53	102.00	75.51	0.04	4.70e-03	1.59e-03	0.14
P259	12:00:00	136.09	102.00	83.09	0.21	0.03	0.03	0.09
P26	12:00:00	22.94	508.00	88.01	5.38	0.03	4.54e-03	0.06
P264	12:00:00	11.73	101.60	112.51	0.65	0.08	0.15	0.05
P266	12:00:00	55.29	101.60	107.06	1.49	0.18	0.75	0.04
P267	12:00:00	344.62	152.40	95.59	0.31	0.02	6.99e-03	0.07
P268	12:00:00	146.46	152.40	86.84	2.14	0.12	0.30	0.06
P27	12:00:00	163.63	254.00	69.11	2.37	0.05	0.05	0.10
P270	12:00:00	88.36	101.60	92.77	0.91	0.11	0.39	0.06
P272	12:00:00	143.88	102.00	73.95	1.93	0.24	2.34	0.08
P275	12:00:00	172.96	152.40	98.16	0.78	0.04	0.04	0.06
P28	12:00:00	117.42	152.00	88.27	1.15	0.06	0.09	0.07
P280	12:00:00	333.40	203.00	88.34	3.00e-07	9.28e-09	4.24e-10	0.00
P282	12:00:00	131.93	102.00	86.72	3.88	0.47	6.33	0.06
P284	12:00:00	198.97	76.20	89.13	0.92	0.20	1.72	0.06
P285	12:00:00	130.71	76.20	90.18	0.09	0.02	0.02	0.09
P286	12:00:00	155.58	101.60	90.01	0.38	0.05	0.08	0.07
P287	12:00:00	45.12	254.00	78.35	83.32	1.64	26.33	0.05
P288	12:00:00	226.74	76.20	85.05	1.63	0.36	5.46	0.06
P29	12:00:00	20.51	152.00	89.48	1.00	0.06	0.07	0.07
P290	12:00:00	46.28	76.20	89.44	0.35	0.08	0.29	0.07
P291	12:00:00	132.94	305.00	107.08	48.68	0.67	2.24	0.03
P292	12:00:00	13.54	305.00	97.27	48.68	0.67	2.67	0.04
P293	12:00:00	125.20	305.00	92.16	48.68	0.67	2.96	0.04
P294	12:00:00	101.20	102.00	79.97	1.97	0.24	2.09	0.07
P295	12:00:00	133.23	76.00	72.41	5.17	1.14	63.15	0.07
P296	12:00:00	231.87	76.00	82.96	2.83	0.62	16.10	0.06
P297	12:00:00	42.53	406.00	73.00	9.00	0.07	0.05	0.08
P298	12:00:00	40.11	305.00	84.55	6.17	0.08	0.08	0.06
P299	12:00:00	61.51	102.00	87.71	3.27	0.40	4.52	0.06
P3	12:00:00	136.52	300.00	73.65	14.22	0.20	0.50	0.07
P30	12:00:00	40.89	254.00	86.71	2.31	0.05	0.03	0.07
P301	12:00:00	45.31	305.00	85.19	5.40	0.07	0.06	0.06
P302	12:00:00	178.28	305.00	80.34	5.11	0.07	0.06	0.07
P303	12:00:00	131.94	76.00	88.33	1.04	0.23	2.25	0.06
P304	12:00:00	268.74	101.60	89.39	0.49	0.06	0.13	0.07
P305	12:00:00	43.41	203.00	90.80	3.69e-07	1.14e-08	4.01e-10	0.00
P307	12:00:00	47.30	305.00	60.51	2.03	0.03	0.02	0.14
P308	12:00:00	334.57	305.00	88.08	48.68	0.67	3.21	0.04
P309	12:00:00	128.80	101.60	94.96	1.01	0.13	0.46	0.06
P31	12:00:00	144.67	152.00	108.77	4.23	0.23	0.70	0.04
P310	12:00:00	9.00	610.00	87.27	186.00	0.64	1.34	0.04
P316	12:00:00	11.62	610.00	70.45	186.00	0.64	1.99	0.06
P319	12:00:00	10.54	610.00	76.59	2.98e-05	1.02e-07	1.64e-12	1.89
P32	12:00:00	84.44	152.00	103.56	6.66	0.37	1.78	0.04
P320	12:00:00	11.47	610.00	76.52	92.99	0.32	0.47	0.06
P322	12:00:00	11.50	610.00	89.43	92.99	0.32	0.35	0.04
P323	12:00:00	11.47	610.00	84.69	2.72e-05	9.31e-08	7.55e-13	0.00
P329	12:00:00	134.52	152.00	100.18	2.45	0.13	0.30	0.05
P33	12:00:00	22.81	254.00	73.04	3.92	0.08	0.10	0.09
P330	12:00:00	66.79	76.00	96.42	1.15	0.25	2.30	0.05
P331	12:00:00	93.46	51.00	93.19	0.47	0.23	3.28	0.06
P336	12:00:00	182.99	152.00	92.17	3.21	0.18	0.57	0.05
P337	12:00:00	20.49	305.00	5.62	12.90	0.18	44.83	8.61
P338	12:00:00	74.38	76.00	100.36	0.18	0.04	0.07	0.07
P339	12:00:00	307.49	102.00	88.65	1.07	0.13	0.56	0.07
P34	12:00:00	98.00	508.00	78.51	162.92	0.80	3.10	0.05
P340	12:00:00	96.21	305.00	101.08	24.96	0.34	0.72	0.04
P341	12:00:00	189.74	305.00	94.64	22.59	0.31	0.68	0.04
P343	12:00:00	111.65	152.00	100.29	3.97	0.22	0.73	0.05
P344	12:00:00	45.26	152.00	85.91	6.54	0.36	2.43	0.06
P346	12:00:00	54.91	51.00	93.91	0.07	0.03	0.09	0.08
P347	12:00:00	385.56	305.00	96.24	3.81	0.05	0.02	0.05
P348	12:00:00	42.47	305.00	88.73	4.90	0.07	0.04	0.06
P349	12:00:00	39.12	305.00	97.01	7.42	0.10	0.08	0.05
P35	12:00:00	64.56	152.00	84.38	0.14	7.84e-03	2.09e-03	0.10
P350	12:00:00	400.16	203.00	99.86	0.66	0.02	6.46e-03	0.06
P37	12:00:00	180.61	203.00	97.80	0.23	7.01e-03	9.25e-04	0.07
P372	12:00:00	6.42	101.60	113.11	8.30	1.02	16.18	0.03
P374	12:00:00	15.83	254.00	91.92	34.64	0.68	3.86	0.04
P375	12:00:00	7.79	254.00	75.49	34.64	0.68	5.55	0.06
P376	12:00:00	6.64	254.00	102.69	34.64	0.68	3.14	0.03
P378	12:00:00	6.47	254.00	112.45	34.64	0.68	2.65	0.03
P379	12:00:00	6.43	254.00	101.78	48.68	0.96	6.00	0.03
P38	12:00:00	169.49	76.00	106.47	0.96	0.21	1.37	0.05
P380	12:00:00	4.79	254.00	87.81	48.68	0.96	7.88	0.04
P381	12:00:00	5.53	304.80	119.21	48.68	0.67	1.84	0.02
P383	12:00:00	19.56	152.00	80.15	5.07	0.28	1.73	0.07
P384	12:00:00	26.14	76.00	101.91	3.65	0.80	17.62	0.04
P385	12:00:00	106.53	305.00	76.02	23.46	0.32	1.09	0.06
P386	12:00:00	8.12	152.00	79.90	11.05	0.61	7.35	0.06
P39	12:00:00	190.12	102.00	95.44	0.24	0.03	0.03	0.07
P397	12:00:00	13.16	203.20	87.43	67.33	2.08	42.96	0.04
P398	12:00:00	6.75	203.20	91.05	31.06	0.96	9.51	0.04
P399	12:00:00	9.71	203.20	81.41	31.06	0.96	11.70	0.05
P40	12:00:00	143.64	102.00	107.91	5.93	0.73	9.27	0.04
P402	12:00:00	6.12	203.20	89.15	4.31e-05	1.33e-06	1.40e-10	0.32
P403	12:00:00	6.86	152.40	111.47	36.27	1.99	35.37	0.03
P409	12:00:00	26.38	152.40	89.90	36.27	1.99	52.67	0.04
P410	12:00:00	7.70	203.20	85.67	4.31e-05	1.33e-06	1.51e-10	0.34
P42	12:00:00	32.93	152.00	114.92	5.83	0.32	1.14	0.03
P424	12:00:00	27.80	203.20	124.99	31.06	0.96	5.29	0.02
P43	12:00:00	36.18	203.00	88.54	0.31	9.67e-03	2.02e-03	0.09
P44	12:00:00	247.65	152.00	115.17	16.23	0.89	7.61	0.03
P443	12:00:00	67.31	305.00	85.58	1.53	0.02	5.56e-03	0.08
P445	12:00:00	7.80	254.00	86.21	0.83	0.02	4.30e-03	0.08
P446	12:00:00	31.15	254.00	102.20	0.00	0.00	0.00	0.00
P450	12:00:00	19.47	254.00	96.97	6.45e-06	1.27e-07	0.00	0.00
P46	12:00:00	70.86	102.00	112.66	0.14	0.02	7.81e-03	0.06
P465	12:00:00	18.20	254.00	86.57	5.44e-06	1.07e-07	0.00	0.00
P467	12:00:00	15.17	254.00	96.15	2.97e-05	5.85e-07	2.06e-11	0.30
P468	12:00:00	31.29	254.00	105.27	83.32	1.64	15.24	0.03
P48	12:00:00	28.98	152.00	113.52	5.14	0.28	0.93	0.03
P482	12:00:00	321.89	152.00	78.90	2.59	0.14	0.51	0.07
P484	12:00:00	336.57	203.00	79.98	1.63	0.05	0.05	0.08
P49	12:00:00	134.92	152.00	121.71	0.84	0.05	0.03	0.04
P492	12:00:00	157.32	101.60	114.11	0.20	0.03	0.02	0.05
P5	12:00:00	588.97	406.00	83.56	7.26	0.06	0.03	0.07
P500	12:00:00	24.23	203.00	112.62	0.45	0.01	2.52e-03	0.05
P501	12:00:00	11.32	152.40	111.45	1.34	0.07	0.08	0.04
P502	12:00:00	9.19	76.20	99.59	1.30	0.29	2.69	0.05
P51	12:00:00	57.47	102.00	92.24	3.07	0.38	3.66	0.05
P510	12:00:00	193.37	102.00	104.95	1.20e-06	1.47e-07	3.23e-12	0.00
P52	12:00:00	83.26	102.00	89.65	1.73	0.21	1.33	0.06
P524	12:00:00	170.54	305.00	96.23	8.21	0.11	0.10	0.05
P527	12:00:00	149.04	305.00	73.12	12.21	0.17	0.35	0.07
P529	12:00:00	212.31	102.00	103.92	1.06	0.13	0.41	0.05
P53	12:00:00	10.32	203.00	87.56	31.06	0.96	10.27	0.04
P54	12:00:00	111.67	51.00	92.40	1.02	0.50	13.79	0.06
P55	12:00:00	99.86	76.00	87.65	1.38	0.30	3.82	0.06
P57	12:00:00	288.77	152.00	99.60	25.96	1.43	23.76	0.03
P58	12:00:00	503.91	102.00	100.85	9.22	1.13	23.83	0.04
P596	12:00:00	76.39	76.00	112.81	1.64	0.36	3.31	0.04
P597	12:00:00	79.68	102.00	101.12	0.58	0.07	0.14	0.06
P6	12:00:00	199.39	152.00	94.65	0.63	0.03	0.03	0.07
P609	12:00:00	86.07	76.00	111.63	2.81	0.62	9.16	0.04
P610	12:00:00	206.58	76.00	95.80	9.17e-07	2.02e-07	4.11e-12	0.00
P63	12:00:00	165.95	254.00	88.73	4.49	0.09	0.09	0.06
P633	12:00:00	173.88	152.00	119.13	7.08	0.39	1.54	0.03
P64	12:00:00	126.63	203.00	80.25	3.65	0.11	0.23	0.07
P65	12:00:00	164.93	102.00	101.95	2.95	0.36	2.83	0.04
P67	12:00:00	330.24	203.00	74.11	3.10	0.10	0.20	0.09
P670	12:00:00	54.41	152.00	98.70	7.22e-06	3.98e-07	1.22e-10	0.00
P671	12:00:00	62.97	152.00	94.84	1.03e-06	5.67e-08	8.23e-11	0.00
P68	12:00:00	302.74	305.00	83.22	1.62	0.02	6.56e-03	0.08
P69	12:00:00	103.63	152.00	72.35	6.62	0.36	3.41	0.08
P697	12:00:00	88.89	102.00	97.76	2.66e-07	3.26e-08	3.90e-13	0.00
P7	12:00:00	60.22	508.00	78.45	42.01	0.21	0.25	0.06
P70	12:00:00	88.36	152.00	72.84	2.98	0.16	0.77	0.09
P71	12:00:00	419.40	254.00	84.73	0.62	0.01	2.62e-03	0.09
P72	12:00:00	247.46	305.00	85.04	4.60	0.06	0.04	0.07
P724	12:00:00	92.72	152.00	96.71	0.49	0.03	0.02	0.07
P725	12:00:00	117.32	152.00	105.29	1.13	0.06	0.06	0.05
P752	12:00:00	70.36	152.00	106.17	0.36	0.02	7.81e-03	0.06
P753	12:00:00	71.91	152.00	89.52	0.25	0.01	5.48e-03	0.08
P754	12:00:00	92.49	51.00	84.83	3.25e-07	1.59e-07	6.37e-12	0.00
P755	12:00:00	47.12	305.00	114.13	0.82	0.01	1.03e-03	0.05
P756	12:00:00	41.66	305.00	107.92	0.92	0.01	1.41e-03	0.05
P757	12:00:00	568.43	305.00	99.83	2.09	0.03	7.51e-03	0.05
P758	12:00:00	102.21	305.00	93.36	3.27	0.04	0.02	0.06
P759	12:00:00	97.19	152.00	104.44	2.58	0.14	0.30	0.04
P760	12:00:00	88.54	152.00	101.85	2.86	0.16	0.38	0.05
P761	12:00:00	171.27	152.00	96.99	3.44	0.19	0.59	0.05
P763	12:00:00	387.59	305.00	112.21	1.87	0.03	4.92e-03	0.04
P766	12:00:00	37.85	152.00	95.04	2.09	0.12	0.24	0.05
P767	12:00:00	227.50	305.00	109.31	3.83	0.05	0.02	0.04
P768	12:00:00	217.03	254.00	116.51	0.89	0.02	2.83e-03	0.05
P769	12:00:00	154.26	305.00	110.62	4.44	0.06	0.02	0.04
P771	12:00:00	69.36	203.00	99.63	0.45	0.01	3.16e-03	0.07
P772	12:00:00	215.02	305.00	85.80	5.66	0.08	0.06	0.06
P775	12:00:00	129.42	203.00	108.38	0.37	0.01	1.90e-03	0.06
P776	12:00:00	421.07	102.00	114.35	0.18	0.02	0.01	0.05
P777	12:00:00	402.31	305.00	111.77	6.05	0.08	0.04	0.04
P779	12:00:00	524.49	203.00	87.91	6.62	0.20	0.58	0.06
P780	12:00:00	153.56	203.00	104.95	6.14e-06	1.90e-07	2.82e-12	0.00
P781	12:00:00	130.18	152.00	90.91	5.63	0.31	1.66	0.05
P783	12:00:00	674.96	203.00	115.08	8.10	0.25	0.51	0.03
P784	12:00:00	88.96	102.00	98.43	0.31	0.04	0.05	0.06
P785	12:00:00	184.71	102.00	89.65	0.72	0.09	0.26	0.07
P786	12:00:00	166.27	203.00	110.00	8.22	0.25	0.57	0.04
P787	12:00:00	127.08	102.00	130.12	18.88	2.31	56.02	0.02
P788	12:00:00	107.85	152.00	113.91	28.05	1.55	21.38	0.03
P789	12:00:00	285.95	203.00	74.97	17.25	0.53	4.61	0.06
P791	12:00:00	82.50	152.00	115.95	29.47	1.62	22.67	0.03
P794	12:00:00	39.04	203.00	123.95	4.96	0.15	0.18	0.03
P795	12:00:00	129.41	203.00	97.78	3.96	0.12	0.18	0.05
P796	12:00:00	22.42	203.00	89.88	34.64	1.07	11.98	0.04
P797	12:00:00	21.64	102.00	117.05	0.86	0.11	0.22	0.04
P798	12:00:00	684.07	203.00	116.09	3.55	0.11	0.11	0.04
P8	12:00:00	11.35	406.00	76.08	49.33	0.38	1.07	0.06
P800	12:00:00	15.93	203.00	109.67	1.31	0.04	0.02	0.05
P801	12:00:00	9.47	203.00	104.47	0.17	5.40e-03	5.05e-04	0.07
P804	12:00:00	68.27	102.00	103.01	2.32	0.28	1.78	0.04
P805	12:00:00	96.57	152.00	114.56	2.82	0.16	0.30	0.04
P806	12:00:00	32.51	152.00	103.90	3.09	0.17	0.43	0.04
P807	12:00:00	162.82	203.00	100.15	0.21	6.63e-03	7.98e-04	0.07
P808	12:00:00	253.47	203.00	92.06	11.62	0.36	1.52	0.05
P809	12:00:00	17.35	102.00	109.35	1.27	0.16	0.52	0.04
P810	12:00:00	64.30	203.00	88.94	9.52e-09	2.94e-10	1.94e-11	0.00
P811	12:00:00	50.17	102.00	89.57	2.08	0.25	1.89	0.06
P813	12:00:00	30.85	152.00	76.04	15.95	0.88	15.89	0.06
P815	12:00:00	50.52	102.00	84.34	17.77	2.17	111.81	0.05
P817	12:00:00	253.30	203.00	72.66	8.87	0.27	1.42	0.08
P819	12:00:00	8.02	203.00	105.07	8.99	0.28	0.74	0.04
P821	12:00:00	64.78	102.00	83.95	0.19	0.02	0.03	0.09
P822	12:00:00	11.71	102.00	99.59	1.31	0.16	0.65	0.05
P823	12:00:00	18.84	76.00	113.36	0.26	0.06	0.11	0.05
P826	12:00:00	335.29	76.00	99.15	0.92	0.20	1.43	0.05
P827	12:00:00	119.07	76.00	103.74	0.46	0.10	0.37	0.05
P83	12:00:00	15.14	610.00	75.66	185.21	0.63	1.73	0.05
P830	12:00:00	89.30	76.00	99.04	0.30	0.07	0.19	0.06
P831	12:00:00	62.20	76.00	86.29	3.30	0.73	19.85	0.06
P84	12:00:00	148.63	203.00	97.41	0.49	0.02	3.91e-03	0.07
P840	12:00:00	235.28	203.00	97.77	13.56	0.42	1.80	0.04
P841	12:00:00	347.83	76.00	93.68	0.82	0.18	1.30	0.06
P842	12:00:00	64.41	52.00	95.52	1.41	0.66	21.67	0.05
P844	12:00:00	12.49	102.00	113.81	2.97	0.36	2.33	0.04
P846	12:00:00	94.84	203.00	103.98	1.68	0.05	0.03	0.05
P847	12:00:00	68.63	152.00	91.07	2.01	0.11	0.25	0.06
P85	12:00:00	36.60	76.00	69.93	0.57	0.13	1.15	0.11
P850	12:00:00	241.13	101.60	112.53	2.43	0.30	1.67	0.04
P851	12:00:00	228.78	76.00	121.93	1.21	0.27	1.64	0.03
P852	12:00:00	40.39	203.00	105.38	2.79	0.09	0.08	0.05
P853	12:00:00	295.68	203.00	118.65	11.86	0.37	0.98	0.03
P855	12:00:00	37.88	102.00	114.85	0.70	0.09	0.16	0.04
P858	12:00:00	195.38	102.00	113.41	1.18	0.14	0.42	0.04
P859	12:00:00	90.81	152.00	95.29	4.97	0.27	1.21	0.05
P86	12:00:00	161.00	305.00	110.50	34.91	0.48	1.14	0.03
P861	12:00:00	110.79	152.00	87.94	0.84	0.05	0.05	0.07
P866	12:00:00	17.37	102.00	92.17	1.39	0.17	0.84	0.06
P87	12:00:00	80.03	203.00	76.40	3.52	0.11	0.23	0.08
P871	12:00:00	48.15	102.00	91.81	0.60	0.07	0.18	0.07
P880	12:00:00	112.84	76.00	86.03	0.43	0.10	0.47	0.08
P889	12:00:00	15.72	203.00	88.74	2.03	0.06	0.06	0.06
P89	12:00:00	104.30	152.00	78.43	2.04	0.11	0.33	0.08
P892	12:00:00	30.39	254.00	69.85	2.63	0.05	0.05	0.10
P9	12:00:00	49.95	254.00	66.75	44.76	0.88	11.21	0.07
P90	12:00:00	98.94	102.00	62.32	1.83	0.22	2.90	0.12
P91	12:00:00	572.34	102.00	94.34	0.44	0.05	0.10	0.07
P914	12:00:00	38.61	203.00	91.18	6.09e-06	1.88e-07	9.24e-11	0.00
P915	12:00:00	10.58	152.00	72.77	18.01	0.99	21.59	0.07
P92	12:00:00	63.12	203.00	83.11	1.28	0.04	0.03	0.08
P924	12:00:00	82.38	254.00	74.46	1.74	0.03	0.02	0.09
P927	12:00:00	348.88	406.00	84.53	0.07	5.77e-04	5.29e-06	0.13
P929	12:00:00	83.31	203.00	90.08	3.18e-07	9.84e-09	4.09e-10	0.00
P930	12:00:00	78.95	203.00	88.20	3.22e-05	9.94e-07	4.39e-13	1.77e-03
P931	12:00:00	248.40	203.00	87.08	6.01e-06	1.86e-07	4.69e-11	0.00
P932	12:00:00	381.56	203.00	84.96	6.41e-06	1.98e-07	2.13e-11	0.00
P933	12:00:00	130.54	305.00	87.95	48.68	0.67	3.22	0.04
P934	12:00:00	18.46	254.00	102.99	48.68	0.96	5.87	0.03
P935	12:00:00	152.13	305.00	100.05	35.38	0.48	1.41	0.04
P937	12:00:00	198.09	254.00	74.28	13.30	0.26	0.97	0.07
P938	12:00:00	168.95	254.00	74.48	11.18	0.22	0.70	0.07
P939	12:00:00	248.76	152.00	95.79	0.31	0.02	6.84e-03	0.07
P94	12:00:00	51.35	305.00	139.08	0.06	8.41e-04	5.90e-06	0.05
P940	12:00:00	187.99	152.00	99.28	0.23	0.01	3.90e-03	0.07
P941	12:00:00	142.58	152.00	79.37	0.03	1.65e-03	1.31e-04	0.14
P942	12:00:00	85.08	152.00	83.59	0.58	0.03	0.03	0.08
P943	12:00:00	84.21	76.00	86.77	0.39	0.09	0.37	0.08
P944	12:00:00	59.58	254.00	82.35	1.73	0.03	0.02	0.08
P946	12:00:00	143.03	102.00	98.06	0.22	0.03	0.02	0.07
P947	12:00:00	122.43	152.00	76.80	0.75	0.04	0.05	0.09
P948	12:00:00	74.71	152.00	104.85	1.92	0.11	0.17	0.05
P949	12:00:00	24.39	254.00	92.69	2.31	0.05	0.03	0.06
P95	12:00:00	50.70	305.00	118.43	0.35	4.80e-03	2.00e-04	0.05
P951	12:00:00	338.80	254.00	94.71	10.94	0.22	0.43	0.05
P953	12:00:00	495.66	254.00	85.41	7.76	0.15	0.28	0.06
P954	12:00:00	294.07	203.00	78.67	1.62	0.05	0.05	0.08
P955	12:00:00	131.74	102.00	85.18	0.30	0.04	0.06	0.09
P956	12:00:00	115.17	152.00	68.25	0.74	0.04	0.07	0.12
P957	12:00:00	51.05	152.00	98.15	0.06	3.11e-03	2.85e-04	0.09
P958	12:00:00	122.41	102.00	105.31	0.29	0.04	0.04	0.06
P959	12:00:00	123.42	102.00	98.22	0.19	0.02	0.02	0.07
P96	12:00:00	53.72	254.00	87.90	1.86	0.04	0.02	0.07
P961	12:00:00	234.55	203.00	85.65	6.28	0.19	0.55	0.06
P962	12:00:00	49.83	152.00	90.75	0.76	0.04	0.04	0.07
P963	12:00:00	93.54	203.00	85.53	10.57	0.33	1.46	0.05
P964	12:00:00	129.91	152.00	96.26	2.65	0.15	0.37	0.05
P965	12:00:00	135.06	203.00	93.94	7.36	0.23	0.63	0.05
P966	12:00:00	31.32	203.00	82.51	4.18	0.13	0.28	0.07
P967	12:00:00	207.54	203.00	82.11	2.83	0.09	0.14	0.07
P968	12:00:00	68.17	102.00	78.40	0.02	2.55e-03	4.78e-04	0.15
P969	12:00:00	149.16	203.00	86.27	2.24	0.07	0.08	0.07
P97	12:00:00	24.41	610.00	88.90	185.34	0.63	1.28	0.04
P970	12:00:00	165.04	203.00	87.80	0.29	9.11e-03	1.83e-03	0.09
P971	12:00:00	136.94	152.00	77.83	2.55	0.14	0.51	0.08
P972	12:00:00	219.42	152.00	82.67	2.49	0.14	0.44	0.07
P973	12:00:00	164.68	203.00	71.93	6.68	0.21	0.86	0.08
P974	12:00:00	186.40	203.00	72.72	5.65	0.17	0.62	0.08
P975	12:00:00	159.56	152.00	74.72	2.09	0.11	0.38	0.09
P976	12:00:00	83.33	76.00	83.20	1.53	0.34	5.11	0.07
P977	12:00:00	45.98	102.00	102.43	0.66	0.08	0.17	0.05
P978	12:00:00	178.97	76.00	78.86	2.71	0.60	16.29	0.07
P98	12:00:00	174.53	610.00	71.75	185.78	0.64	1.92	0.06
P981	12:00:00	36.19	76.00	80.22	3.93	0.87	31.43	0.06
P982	12:00:00	87.24	203.00	98.51	1.84	0.06	0.04	0.05
P983	12:00:00	180.20	101.60	91.90	3.96	0.49	6.04	0.05
P984	12:00:00	16.03	101.60	108.96	1.29	0.16	0.55	0.04
P986	12:00:00	229.54	101.60	87.08	0.61	0.07	0.21	0.07
P987	12:00:00	94.56	101.60	96.41	0.81	0.10	0.29	0.06
P988	12:00:00	9.74	101.60	102.52	2.85	0.35	2.69	0.04
P989	12:00:00	91.59	51.00	82.07	0.47	0.23	4.16	0.08
P99	12:00:00	452.37	508.00	96.64	157.70	0.78	1.99	0.03
P990	12:00:00	78.87	102.00	85.79	1.57	0.19	1.22	0.07
P991	12:00:00	20.25	203.00	74.31	21.89	0.68	7.28	0.06
P992	12:00:00	69.15	203.00	80.64	20.58	0.64	5.58	0.06
P993	12:00:00	63.52	203.00	80.23	18.38	0.57	4.57	0.06
P994	12:00:00	115.39	203.00	83.09	18.14	0.56	4.18	0.05
P995	12:00:00	228.99	152.00	82.50	25.83	1.42	33.35	0.05
P996	12:00:00	10.22	203.00	84.58	68.39	2.11	47.24	0.04
P997	12:00:00	154.87	203.00	96.62	42.93	1.33	15.58	0.04
P998	12:00:00	107.98	203.00	90.64	43.87	1.36	18.26	0.04
P999	12:00:00	81.67	254.00	68.70	42.67	0.84	9.73	0.07
PU1	12:00:00	0.00	0.00	1.00	92.99	0.00	-33.75	0.00
PU2	12:00:00	0.00	0.00	1.00	93.01	0.00	-33.75	0.00
PU3	12:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU4	12:00:00	0.00	0.00	1.00	34.64	0.00	-62.75	0.00
PU5	12:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU6	12:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU7	12:00:00	0.00	0.00	1.00	48.68	0.00	-84.92	0.00
PU8	12:00:00	0.00	0.00	1.00	36.27	0.00	-59.92	0.00
PU9	12:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU10	12:00:00	0.00	0.00	1.00	31.06	0.00	-46.50	0.00
PU11	12:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
v1	12:00:00	0.00	203.20	131.23	4.61	0.14	53.56	0.00
V45	12:00:00	0.00	152.40	131.23	2.62	0.14	39.36	0.00
V47	12:00:00	0.00	101.60	131.23	2.47	0.30	51.30	0.00
V2	12:00:00	0.00	254.00	-1.00e+10	0.00	0.00	0.00	0.00
P1	13:00:00	52.90	203.00	72.45	1.20	0.04	0.04	0.10
P10	13:00:00	79.23	76.00	108.01	2.03	0.45	5.31	0.04
P100	13:00:00	107.88	406.00	76.51	183.39	1.42	12.08	0.05
P1000	13:00:00	109.27	203.00	76.95	41.82	1.29	22.63	0.05
P101	13:00:00	243.37	254.00	84.21	0.58	0.01	2.32e-03	0.09
P1016	13:00:00	164.77	305.00	85.24	32.98	0.45	1.66	0.05
P102	13:00:00	1.28e+03	508.00	92.95	159.94	0.79	2.19	0.04
P1022	13:00:00	200.76	102.00	99.58	0.21	0.03	0.02	0.07
P1023	13:00:00	136.34	102.00	95.69	1.43	0.18	0.84	0.05
